#date	time	latency	xfertime	sleeptime	bytes	transactions
2017-09-20	08:28:18	0.131517	0.187895	0	156195	36
2017-09-20	08:28:19	0.058118	0.037182	0	32291	99
2017-09-20	08:28:20	0.048383	0.010267	0	30589	99
2017-09-20	08:28:21	0.045958	0.013442	0	32683	99
2017-09-20	08:28:22	0.051609	0.02066	0	41642	99
2017-09-20	08:28:23	0.049379	0.009707	0	36790	99
2017-09-20	08:28:24	0.048067	0.008451	0	28690	99
2017-09-20	08:28:25	0.048051	0.008111	0	30030	99
2017-09-20	08:28:26	0.047425	0.013154	0	36213	99
2017-09-20	08:28:27	0.05452	0.045059	0	67799	99
2017-09-20	08:28:28	3.160051	1.763864	0	2943049	1
#date	time	latency	xfertime	sleeptime	bytes	transactions
2017-09-20	08:30:11	0.065129	0.129946	0	110124	58
2017-09-20	08:30:12	0.044462	0.017037	0	30811	119
2017-09-20	08:30:13	0.041867	0.012971	0	31640	119
2017-09-20	08:30:14	0.041648	0.023205	0	40241	119
2017-09-20	08:30:15	0.041628	0.013857	0	36366	119
2017-09-20	08:30:16	0.040425	0.008438	0	28101	119
2017-09-20	08:30:17	0.040797	0.008084	0	30141	119
2017-09-20	08:30:18	0.043716	0.05866	0	65724	119
2017-09-20	08:30:19	0.045756	0.030222	0	45193	119
2017-09-20	08:30:20	0.066609	0.122482	0	73951	119
2017-09-20	08:30:21	3.199594	5.416877	0	4584887	1
#date	time	latency	xfertime	sleeptime	bytes	transactions
2017-09-20	08:32:20	0.053895	0.098961	0	87051	79
2017-09-20	08:32:21	0.043179	0.013901	0	32091	139
2017-09-20	08:32:22	0.04224	0.010668	0	31718	139
2017-09-20	08:32:23	0.040669	0.017941	0	41339	139
2017-09-20	08:32:24	0.042781	0.009656	0	30529	139
2017-09-20	08:32:25	0.044241	0.009853	0	30378	139
2017-09-20	08:32:26	0.049865	0.076835	0	60929	139
2017-09-20	08:32:27	0.046836	0.108582	0	71293	139
2017-09-20	08:32:28	0.051419	0.086672	0	58081	139
2017-09-20	08:32:29	0.091304	0.511831	0	111092	139
2017-09-20	08:32:30	4.371266	16.665324	0	4642547	1
#date	time	latency	xfertime	sleeptime	bytes	transactions
2017-09-20	08:35:21	0.051957	0.094224	0	67806	126
2017-09-20	08:35:22	0.039921	0.01609	0	30676	157
2017-09-20	08:35:23	0.039676	0.022583	0	38685	161
2017-09-20	08:35:24	0.042013	0.011059	0	33153	157
2017-09-20	08:35:25	0.041383	0.010022	0	28945	161
2017-09-20	08:35:26	0.04699	0.064181	0	57378	159
2017-09-20	08:35:27	0.055089	0.123517	0	67877	159
2017-09-20	08:35:28	0.053713	0.245508	0	74617	159
2017-09-20	08:35:29	0.07757	0.651002	0	97164	159
2017-09-20	08:35:30	0.07532	0.403289	0	54374	159
2017-09-20	08:35:31	2.26181	7.730269	0	1640119	1
#date	time	latency	xfertime	sleeptime	bytes	transactions
2017-09-20	08:39:19	0.050516	0.126683	0	72596	109
2017-09-20	08:39:20	0.042845	0.034305	0	31229	179
2017-09-20	08:39:21	0.040679	0.025645	0	38558	176
2017-09-20	08:39:22	0.039395	0.010452	0	31575	182
2017-09-20	08:39:23	0.042714	0.010737	0	30568	179
2017-09-20	08:39:24	0.056318	0.135343	0	61961	179
2017-09-20	08:39:25	0.062157	0.32332	0	71553	179
2017-09-20	08:39:26	0.091431	1.024993	0	107717	179
2017-09-20	08:39:27	0.089475	0.688805	0	55332	179
2017-09-20	08:39:28	0.095133	0.672564	0	62877	179
2017-09-20	08:39:29	5.563893	33.094368	0	4177894	1
#date	time	latency	xfertime	sleeptime	bytes	transactions
2017-09-20	08:43:09	0.05441	0.124942	0	70365	117
2017-09-20	08:43:10	0.04616	0.034887	0	31235	199
2017-09-20	08:43:11	0.042956	0.025642	0	38627	199
2017-09-20	08:43:12	0.043052	0.013143	0	29712	199
2017-09-20	08:43:13	0.049712	0.09012	0	51726	199
2017-09-20	08:43:14	0.068921	0.322834	0	63304	199
2017-09-20	08:43:15	0.069396	1.311512	0	99226	199
2017-09-20	08:43:16	0.108048	1.017543	0	62823	199
2017-09-20	08:43:17	0.09162	1.131194	0	60295	199
2017-09-20	08:43:18	0.11571	1.040141	0	59379	199
2017-09-20	08:43:19	8.602096	97.857896	0	9288129	1
